team,player_name,position,shirt_number,club
Spain,Yéremy Pino,FW,11,Crystal Palace
Spain,Pedro Porro,DF,12,Tottenham Hotspur
Spain,Joan Garcia,GK,13,Barcelona
Spain,Aymeric Laporte,DF,14,Athletic Bilbao
Spain,Álex Baena,MF,15,Atlético Madrid
Spain,Rodri,MF,16,Manchester City
Spain,Nico Williams,FW,17,Athletic Bilbao
Spain,Martín Zubimendi,MF,18,Arsenal
Spain,Lamine Yamal,FW,19,Barcelona
Spain,Pedri,MF,20,Barcelona
Spain,Mikel Oyarzabal,FW,21,Real Sociedad
Spain,Pau Cubarsí,DF,22,Barcelona
Spain,Unai Simón,GK,23,Athletic Bilbao
Spain,Marc Cucurella,DF,24,Chelsea
Spain,Víctor Muñoz,FW,25,Osasuna
Spain,Borja Iglesias,FW,26,Celta Vigo
Uruguay,Sergio Rochet,GK,1,Internacional
Uruguay,José María Giménez,DF,2,Atlético Madrid
Uruguay,Sebastián Cáceres,DF,3,América
Uruguay,Ronald Araújo,DF,4,Barcelona
Uruguay,Manuel Ugarte,MF,5,Manchester United
Uruguay,Rodrigo Bentancur,MF,6,Tottenham Hotspur
Uruguay,Nicolás de la Cruz,MF,7,Flamengo
Uruguay,Federico Valverde,MF,8,Real Madrid
Uruguay,Darwin Núñez,FW,9,Al-Hilal
Uruguay,Giorgian de Arrascaeta,MF,10,Flamengo
Uruguay,Facundo Pellistri,FW,11,Panathinaikos
Uruguay,Santiago Mele,GK,12,Monterrey
Uruguay,Guillermo Varela,DF,13,Flamengo
Uruguay,Agustín Canobbio,MF,14,Fluminense
Uruguay,Emiliano Martínez,MF,15,Palmeiras
Uruguay,Mathías Olivera,DF,16,Napoli
Uruguay,Matías Viña,DF,17,River Plate
Uruguay,Brian Rodríguez,FW,18,América
Uruguay,Rodrigo Aguirre,FW,19,UANL
Uruguay,Maximiliano Araújo,MF,20,Sporting CP
Uruguay,Federico Viñas,FW,21,Oviedo
Uruguay,Joaquín Piquerez,MF,22,Palmeiras
Uruguay,Fernando Muslera,GK,23,Estudiantes
Uruguay,Santiago Bueno,DF,24,Wolverhampton Wanderers
Uruguay,Juan Manuel Sanabria,MF,25,Real Salt Lake
Uruguay,Rodrigo Zalazar,MF,26,Braga
France,Brice Samba,GK,1,Rennes
France,Malo Gusto,DF,2,Chelsea
France,Lucas Digne,DF,3,Aston Villa
France,Dayot Upamecano,DF,4,Bayern Munich
France,Jules Koundé,DF,5,Barcelona
France,Manu Koné,MF,6,Roma
France,Ousmane Dembélé,FW,7,Paris Saint-Germain
France,Aurélien Tchouaméni,MF,8,Real Madrid
France,Marcus Thuram,FW,9,Inter Milan
France,Kylian Mbappé,FW,10,Real Madrid
France,Michael Olise,FW,11,Bayern Munich
France,Bradley Barcola,FW,12,Paris Saint-Germain
France,N'Golo Kanté,MF,13,Fenerbahçe
France,Adrien Rabiot,MF,14,Milan
France,Ibrahima Konaté,DF,15,Liverpool
France,Mike Maignan,GK,16,Milan
France,William Saliba,DF,17,Arsenal
France,Warren Zaïre-Emery,MF,18,Paris Saint-Germain
France,Théo Hernandez,DF,19,Al-Hilal
France,Désiré Doué,FW,20,Paris Saint-Germain
France,Lucas Hernandez,DF,21,Paris Saint-Germain
France,Jean-Philippe Mateta,FW,22,Crystal Palace
France,Robin Risser,GK,23,Lens
France,Rayan Cherki,MF,24,Manchester City
France,Maghnes Akliouche,MF,25,Monaco
France,Maxence Lacroix,DF,26,Crystal Palace
Iraq,Fahad Talib,GK,1,Al-Talaba
Iraq,Rebin Sulaka,DF,2,Port
Iraq,Hussein Ali,DF,3,Pogoń Szczecin
Iraq,Zaid Tahseen,DF,4,Pakhtakor
Iraq,Akam Hashim,DF,5,Al-Zawraa
Iraq,Manaf Younis,DF,6,Al-Shorta
Iraq,Youssef Amyn,MF,7,AEK Larnaca
Iraq,Ibrahim Bayesh,MF,8,Al Dhafra
Iraq,Ali Al-Hamadi,FW,9,Luton Town
Iraq,Mohanad Ali,FW,10,Dibba
Iraq,Ahmed Qasem,FW,11,Nashville SC
Iraq,Jalal Hassan,GK,12,Al-Zawraa
Iraq,Ali Yousif,FW,13,Al-Talaba
Iraq,Zidane Iqbal,MF,14,Utrecht
Iraq,Ahmed Maknzi,DF,15,Al-Karma
Iraq,Amir Al-Ammari,MF,16,Cracovia
Iraq,Ali Jasim,FW,17,Al-Najma
Iraq,Aymen Hussein,FW,18,Al-Karma
Iraq,Kevin Yakob,MF,19,AGF
Iraq,Aimar Sher,MF,20,Sarpsborg 08
Iraq,Marko Farji,FW,21,Venezia
Iraq,Ahmed Basil,GK,22,Al-Shorta
Iraq,Merchas Doski,DF,23,Viktoria Plzeň
Iraq,Zaid Ismail,MF,24,Al-Talaba
Iraq,Mustafa Saadoon,DF,25,Al-Shorta
Iraq,Frans Putros,DF,26,Persib
Norway,Ørjan Nyland,GK,1,Sevilla
Norway,Morten Thorsby,MF,2,Cremonese
Norway,Kristoffer Ajer,DF,3,Brentford
Norway,Leo Østigård,DF,4,Genoa
Norway,David Møller Wolfe,DF,5,Wolverhampton Wanderers
Norway,Patrick Berg,MF,6,Bodø/Glimt
Norway,Alexander Sørloth,FW,7,Atlético Madrid
Norway,Sander Berge,MF,8,Fulham
Norway,Erling Haaland,FW,9,Manchester City
Norway,Martin Ødegaard,MF,10,Arsenal
Norway,Jørgen Strand Larsen,FW,11,Crystal Palace
Norway,Sander Tangvik,GK,12,Hamburger SV
Norway,Egil Selvik,GK,13,Watford
Norway,Fredrik Aursnes,MF,14,Benfica
Norway,Fredrik André Bjørkan,DF,15,Bodø/Glimt
Norway,Marcus Holmgren Pedersen,DF,16,Torino
Norway,Torbjørn Heggem,DF,17,Bologna
Norway,Kristian Thorstvedt,MF,18,Sassuolo
Norway,Thelo Aasgaard,MF,19,Rangers
Norway,Antonio Nusa,FW,20,RB Leipzig
Norway,Andreas Schjelderup,MF,21,Benfica
Norway,Oscar Bobb,MF,22,Fulham
Norway,Jens Petter Hauge,MF,23,Bodø/Glimt
Norway,Sondre Langås,DF,24,Derby County
Norway,Henrik Falchener,DF,25,Viking
Norway,Julian Ryerson,FW,26,Borussia Dortmund
Senegal,Yehvann Diouf,GK,1,Nice
Senegal,Mamadou Sarr,DF,2,Chelsea
Senegal,Kalidou Koulibaly,DF,3,Al-Hilal
Senegal,Abdoulaye Seck,DF,4,Maccabi Haifa
Senegal,Idrissa Gueye,MF,5,Everton
Senegal,Pathé Ciss,MF,6,Rayo Vallecano
Senegal,Assane Diao,FW,7,Como
Senegal,Lamine Camara,MF,8,Monaco
Senegal,Bamba Dieng,FW,9,Lorient
Senegal,Sadio Mané,FW,10,Al-Nassr
Senegal,Nicolas Jackson,FW,11,Bayern Munich
Senegal,Cherif Ndiaye,FW,12,Samsunspor
Senegal,Iliman Ndiaye,FW,13,Everton
Senegal,Ismail Jakobs,DF,14,Galatasaray
Senegal,Krépin Diatta,DF,15,Monaco
Senegal,Édouard Mendy,GK,16,Al-Ahli
Senegal,Pape Matar Sarr,MF,17,Tottenham Hotspur
Senegal,Ismaïla Sarr,FW,18,Crystal Palace
Senegal,Moussa Niakhaté,DF,19,Lyon
Senegal,Ibrahim Mbaye,FW,20,Paris Saint-Germain
Senegal,Habib Diarra,MF,21,Sunderland
Senegal,Bara Sapoko Ndiaye,MF,22,Bayern Munich
Senegal,Mory Diaw,GK,23,Le Havre
Senegal,Antoine Mendy,DF,24,Nice
Senegal,El Hadji Malick Diouf,DF,25,West Ham United
Senegal,Pape Gueye,MF,26,Villarreal
Algeria,Melvin Mastil,GK,1,Stade Nyonnais
Algeria,Aïssa Mandi,DF,2,Lille
Algeria,Achref Abada,DF,3,USM Alger
Algeria,Mohamed Amine Tougai,DF,4,Espérance de Tunis
Algeria,Zineddine Belaïd,DF,5,JS Kabylie
Algeria,Ramiz Zerrouki,MF,6,Twente
Algeria,Riyad Mahrez,FW,7,Al-Ahli
Algeria,Houssem Aouar,MF,8,Al-Ittihad
Algeria,Amine Gouiri,FW,9,Marseille
Algeria,Farès Chaïbi,MF,10,Eintracht Frankfurt
Algeria,Anis Hadj Moussa,FW,11,Feyenoord
Algeria,Nadhir Benbouali,FW,12,Győri ETO
Algeria,Jaouen Hadjam,DF,13,Young Boys
Algeria,Hicham Boudaoui,MF,14,Nice
Algeria,Rayan Aït-Nouri,DF,15,Manchester City
Algeria,Oussama Benbot,GK,16,USM Alger
Algeria,Rafik Belghali,DF,17,Hellas Verona
Algeria,Mohamed Amoura,FW,18,VfL Wolfsburg
Algeria,Nabil Bentaleb,MF,19,Lille
Algeria,Adil Boulbina,FW,20,Al-Duhail
Algeria,Ramy Bensebaini,DF,21,Borussia Dortmund
Algeria,Ibrahim Maza,MF,22,Bayer Leverkusen
Algeria,Luca Zidane,GK,23,Granada
Algeria,Yacine Titraoui,MF,24,Charleroi
Algeria,Farès Ghedjemis,FW,25,Frosinone
Algeria,Samir Chergui,DF,26,Paris FC
Argentina,Juan Musso,GK,1,Atlético Madrid
Argentina,Marcos Senesi,DF,2,Bournemouth
Argentina,Nicolás Tagliafico,DF,3,Lyon
Argentina,Gonzalo Montiel,DF,4,River Plate
Argentina,Leandro Paredes,MF,5,Boca Juniors
Argentina,Lisandro Martínez,DF,6,Manchester United
Argentina,Rodrigo De Paul,MF,7,Inter Miami CF
Argentina,Valentín Barco,MF,8,Strasbourg
Argentina,Julián Alvarez,FW,9,Atlético Madrid
Argentina,Lionel Messi,FW,10,Inter Miami CF
Argentina,Giovani Lo Celso,MF,11,Real Betis
Argentina,Gerónimo Rulli,GK,12,Marseille
Argentina,Cristian Romero,DF,13,Tottenham Hotspur
Argentina,Exequiel Palacios,MF,14,Bayer Leverkusen
Argentina,Nicolás González,MF,15,Atlético Madrid
Argentina,Thiago Almada,FW,16,Atlético Madrid
Argentina,Giuliano Simeone,FW,17,Atlético Madrid
Argentina,Nico Paz,FW,18,Como
Argentina,Nicolás Otamendi,DF,19,Benfica
Argentina,Alexis Mac Allister,MF,20,Liverpool
Argentina,José Manuel López,FW,21,Palmeiras
Argentina,Lautaro Martínez,FW,22,Inter Milan
Argentina,Emiliano Martínez,GK,23,Aston Villa
Argentina,Enzo Fernández,MF,24,Chelsea
Argentina,Facundo Medina,DF,25,Marseille
Argentina,Nahuel Molina,DF,26,Atlético Madrid
Austria,Alexander Schlager,GK,1,Red Bull Salzburg
Austria,David Affengruber,DF,2,Elche
Austria,Kevin Danso,DF,3,Tottenham Hotspur
Austria,Xaver Schlager,MF,4,RB Leipzig
Austria,Stefan Posch,DF,5,Mainz 05
Austria,Nicolas Seiwald,MF,6,RB Leipzig
Austria,Marko Arnautović,FW,7,Red Star Belgrade
Austria,David Alaba,DF,8,Real Madrid
Austria,Marcel Sabitzer,MF,9,Borussia Dortmund
Austria,Florian Grillitsch,MF,10,Braga
Austria,Michael Gregoritsch,FW,11,FC Augsburg
Austria,Florian Wiegele,GK,12,Viktoria Plzeň
Austria,Patrick Pentz,GK,13,Brøndby
Austria,Saša Kalajdžić,FW,14,LASK
Austria,Philipp Lienhart,DF,15,SC Freiburg
Austria,Phillipp Mwene,DF,16,Mainz 05
Austria,Carney Chukwuemeka,MF,17,Borussia Dortmund
Austria,Romano Schmid,MF,18,Werder Bremen
Austria,Dejan Ljubičić,MF,19,Schalke 04
Austria,Konrad Laimer,MF,20,Bayern Munich
Austria,Patrick Wimmer,FW,21,VfL Wolfsburg
Austria,Alexander Prass,MF,22,TSG Hoffenheim
Austria,Marco Friedl,DF,23,Werder Bremen
Austria,Paul Wanner,MF,24,PSV Eindhoven
Austria,Michael Svoboda,DF,25,Venezia
Austria,Alessandro Schöpf,MF,26,Wolfsberger AC
Jordan,Yazeed Abulaila,GK,1,Al-Hussein
Jordan,Mohammad Abu Hashish,DF,2,Al-Karma
Jordan,Abdallah Nasib,DF,3,Al-Zawraa
Jordan,Husam Abu Dahab,DF,4,Al-Faisaly
Jordan,Yazan Al-Arab,DF,5,FC Seoul
Jordan,Amer Jamous,MF,6,Al-Zawraa
Jordan,Mohammad Abu Zrayq,FW,7,Raja Casablanca
Jordan,Noor Al-Rawabdeh,MF,8,Selangor
Jordan,Ali Olwan,FW,9,Al-Sailiya
Jordan,Musa Al-Taamari,FW,10,Rennes
Jordan,Odeh Al-Fakhouri,FW,11,Pyramids
Jordan,Nour Bani Attiah,GK,12,Al-Faisaly
Jordan,Mahmoud Al-Mardi,FW,13,Al-Hussein
Jordan,Rajaei Ayed,MF,14,Al-Hussein
Jordan,Ibrahim Sadeh,MF,15,Al-Karma
Jordan,Mo Abualnadi,DF,16,Selangor
Jordan,Salim Obaid,DF,17,Al-Hussein
Jordan,Mohammad Taha,MF,18,Al-Hussein
Jordan,Saed Al-Rosan,DF,19,Al-Hussein
Jordan,Mohannad Abu Taha,MF,20,Al-Quwa Al-Jawiya
Jordan,Nizar Al-Rashdan,MF,21,Qatar SC
Jordan,Abdallah Al-Fakhouri,GK,22,Al-Wehdat
Jordan,Ihsan Haddad,DF,23,Al-Hussein
Jordan,Ali Azaizeh,FW,24,Al-Shabab
Jordan,Mohammad Al-Dawoud,MF,25,Al-Wehdat
Jordan,Anas Badawi,DF,26,Al-Faisaly
Colombia,David Ospina,GK,1,Atlético Nacional
Colombia,Daniel Muñoz,DF,2,Crystal Palace
Colombia,Jhon Lucumí,DF,3,Bologna
Colombia,Santiago Arias,DF,4,Independiente
Colombia,Kevin Castaño,MF,5,River Plate
Colombia,Richard Ríos,MF,6,Benfica
Colombia,Luis Díaz,FW,7,Bayern Munich
Colombia,Jorge Carrascal,MF,8,Flamengo
Colombia,Jhon Córdoba,FW,9,Krasnodar
Colombia,James Rodríguez,MF,10,Minnesota United FC
Colombia,Jhon Arias,MF,11,Palmeiras
Colombia,Camilo Vargas,GK,12,Atlas
Colombia,Yerry Mina,DF,13,Cagliari
Colombia,Gustavo Puerta,DF,14,Racing Santander
Colombia,Juan Portilla,MF,15,Athletico Paranaense
Colombia,Jefferson Lerma,MF,16,Crystal Palace
Colombia,Johan Mojica,DF,17,Mallorca
Colombia,Willer Ditta,DF,18,Cruz Azul
Colombia,Cucho Hernández,FW,19,Real Betis
Colombia,Juan Fernando Quintero,MF,20,River Plate
Colombia,Jaminton Campaz,FW,21,Rosario Central
Colombia,Deiver Machado,DF,22,Nantes
Colombia,Davinson Sánchez,DF,23,Galatasaray
Colombia,Álvaro Montero,GK,24,Vélez Sarsfield
Colombia,Luis Suárez,FW,25,Sporting CP
Colombia,Andrés Gómez,FW,26,Vasco da Gama
DR Congo,Lionel Mpasi,GK,1,Le Havre
DR Congo,Aaron Wan-Bissaka,DF,2,West Ham United
DR Congo,Steve Kapuadi,DF,3,Widzew Łódź
DR Congo,Axel Tuanzebe,DF,4,Burnley
DR Congo,Dylan Batubinsika,DF,5,AEL
DR Congo,Ngal'ayel Mukau,MF,6,Lille
DR Congo,Nathanaël Mbuku,MF,7,Montpellier
DR Congo,Samuel Moutoussamy,MF,8,Atromitos
DR Congo,Brian Cipenga,FW,9,Castellón
DR Congo,Théo Bongonda,MF,10,Spartak Moscow
DR Congo,Gaël Kakuta,FW,11,AEL
DR Congo,Joris Kayembe,DF,12,Genk
DR Congo,Meschak Elia,FW,13,Alanyaspor
DR Congo,Noah Sadiki,MF,14,Sunderland
DR Congo,Aaron Tshibola,MF,15,Kilmarnock
DR Congo,Timothy Fayulu,GK,16,Noah
DR Congo,Cédric Bakambu,FW,17,Real Betis
DR Congo,Charles Pickel,MF,18,Espanyol
DR Congo,Fiston Mayele,FW,19,Pyramids
DR Congo,Yoane Wissa,FW,20,Newcastle United
DR Congo,Matthieu Epolo,GK,21,Standard Liège
DR Congo,Chancel Mbemba,DF,22,Lille
DR Congo,Simon Banza,FW,23,Al Jazira
DR Congo,Gédéon Kalulu,DF,24,Aris Limassol
DR Congo,Edo Kayembe,MF,25,Watford
DR Congo,Arthur Masuaku,DF,26,Lens
Portugal,Diogo Costa,GK,1,Porto
Portugal,Nélson Semedo,DF,2,Fenerbahçe
Portugal,Rúben Dias,DF,3,Manchester City
Portugal,Tomás Araújo,DF,4,Benfica
Portugal,Diogo Dalot,DF,5,Manchester United
Portugal,Matheus Nunes,MF,6,Manchester City
Portugal,Cristiano Ronaldo,FW,7,Al-Nassr
Portugal,Bruno Fernandes,MF,8,Manchester United
Portugal,Gonçalo Ramos,FW,9,Paris Saint-Germain
Portugal,Bernardo Silva,MF,10,Manchester City
Portugal,João Félix,FW,11,Al-Nassr
Portugal,José Sá,GK,12,Wolverhampton Wanderers
Portugal,Renato Veiga,DF,13,Villarreal
Portugal,Gonçalo Inácio,DF,14,Sporting CP
Portugal,João Neves,MF,15,Paris Saint-Germain
Portugal,Francisco Trincão,FW,16,Sporting CP
Portugal,Rafael Leão,FW,17,Milan
Portugal,Pedro Neto,FW,18,Chelsea
Portugal,Gonçalo Guedes,FW,19,Real Sociedad
Portugal,João Cancelo,DF,20,Barcelona
Portugal,Rúben Neves,MF,21,Al-Hilal
Portugal,Rui Silva,GK,22,Sporting CP
Portugal,Vitinha,MF,23,Paris Saint-Germain
Portugal,Samú Costa,DF,24,Mallorca
Portugal,Nuno Mendes,DF,25,Paris Saint-Germain
Portugal,Francisco Conceição,FW,26,Juventus
Uzbekistan,Utkir Yusupov,GK,1,Navbahor Namangan
Uzbekistan,Abdukodir Khusanov,DF,2,Manchester City
Uzbekistan,Khojiakbar Alijonov,DF,3,Pakhtakor
Uzbekistan,Farrukh Sayfiev,DF,4,Neftchi Fergana
Uzbekistan,Rustam Ashurmatov,DF,5,Esteghlal
Uzbekistan,Akmal Mozgovoy,MF,6,Pakhtakor
Uzbekistan,Otabek Shukurov,MF,7,Baniyas
Uzbekistan,Jamshid Iskanderov,MF,8,Neftchi Fergana
Uzbekistan,Odiljon Hamrobekov,MF,9,Tractor
Uzbekistan,Jaloliddin Masharipov,MF,10,Esteghlal
Uzbekistan,Oston Urunov,MF,11,Persepolis
Uzbekistan,Abduvohid Nematov,GK,12,Nasaf
Uzbekistan,Sherzod Nasrullaev,DF,13,Nasaf
Uzbekistan,Eldor Shomurodov,FW,14,İstanbul Başakşehir
Uzbekistan,Umar Eshmurodov,DF,15,Nasaf
Uzbekistan,Botirali Ergashev,GK,16,Neftchi Fergana
Uzbekistan,Dostonbek Khamdamov,MF,17,Pakhtakor
Uzbekistan,Abdulla Abdullaev,DF,18,Dibba
Uzbekistan,Azizjon Ganiev,MF,19,Al Bataeh
Uzbekistan,Azizbek Amonov,FW,20,Dinamo Samarqand
Uzbekistan,Igor Sergeev,FW,21,Persepolis
Uzbekistan,Abbosbek Fayzullaev,MF,22,İstanbul Başakşehir
Uzbekistan,Sherzod Esanov,MF,23,Bukhara
Uzbekistan,Bekhruz Karimov,DF,24,Surkhon Termiz
Uzbekistan,Avazbek Ulmasaliev,DF,25,AGMK
Uzbekistan,Jakhongir Urozov,DF,26,Dinamo Samarqand
Croatia,Dominik Livaković,GK,1,Dinamo Zagreb
Croatia,Josip Stanišić,DF,2,Bayern Munich
Croatia,Marin Pongračić,DF,3,Fiorentina
Croatia,Joško Gvardiol,DF,4,Manchester City
Croatia,Duje Ćaleta-Car,DF,5,Real Sociedad
Croatia,Josip Šutalo,DF,6,Ajax
Croatia,Nikola Moro,MF,7,Bologna
Croatia,Mateo Kovačić,MF,8,Manchester City
Croatia,Andrej Kramarić,FW,9,TSG Hoffenheim
Croatia,Luka Modrić,MF,10,Milan
Croatia,Ante Budimir,FW,11,Osasuna
Croatia,Ivor Pandur,GK,12,Hull City
Croatia,Nikola Vlašić,MF,13,Torino
Croatia,Ivan Perišić,FW,14,PSV Eindhoven
Croatia,Mario Pašalić,MF,15,Atalanta
Croatia,Martin Baturina,MF,16,Como
Croatia,Petar Sučić,MF,17,Inter Milan
Croatia,Kristijan Jakić,DF,18,FC Augsburg
Croatia,Toni Fruk,MF,19,Rijeka
Croatia,Igor Matanović,FW,20,SC Freiburg
Croatia,Luka Sučić,MF,21,Real Sociedad
Croatia,Luka Vušković,DF,22,Hamburger SV
Croatia,Dominik Kotarski,GK,23,Copenhagen
Croatia,Marco Pašalić,FW,24,Orlando City SC
Croatia,Martin Erlić,DF,25,Midtjylland
Croatia,Petar Musa,FW,26,FC Dallas
England,Jordan Pickford,GK,1,Everton
England,Ezri Konsa,DF,2,Aston Villa
England,Nico O'Reilly,DF,3,Manchester City
England,Declan Rice,MF,4,Arsenal
England,John Stones,DF,5,Manchester City
England,Marc Guéhi,DF,6,Manchester City
England,Bukayo Saka,FW,7,Arsenal
England,Elliot Anderson,MF,8,Nottingham Forest
England,Harry Kane,FW,9,Bayern Munich
England,Jude Bellingham,MF,10,Real Madrid
England,Marcus Rashford,FW,11,Barcelona
England,Tino Livramento,DF,12,Newcastle United
England,Dean Henderson,GK,13,Crystal Palace
England,Jordan Henderson,MF,14,Brentford
England,Dan Burn,DF,15,Newcastle United
England,Kobbie Mainoo,MF,16,Manchester United
England,Morgan Rogers,MF,17,Aston Villa
England,Anthony Gordon,FW,18,Newcastle United
England,Ollie Watkins,FW,19,Aston Villa
England,Noni Madueke,FW,20,Arsenal
England,Eberechi Eze,MF,21,Arsenal
England,Ivan Toney,FW,22,Al-Ahli
England,James Trafford,GK,23,Manchester City
England,Reece James,DF,24,Chelsea
England,Djed Spence,DF,25,Tottenham Hotspur
England,Jarell Quansah,DF,26,Bayer Leverkusen
Ghana,Lawrence Ati-Zigi,GK,1,St. Gallen
Ghana,Alidu Seidu,DF,2,Rennes
Ghana,Caleb Yirenkyi,MF,3,Nordsjælland
Ghana,Jonas Adjetey,DF,4,VfL Wolfsburg
Ghana,Thomas Partey,MF,5,Villarreal
Ghana,Abdul Mumin,DF,6,Rayo Vallecano
Ghana,Abdul Fatawu,FW,7,Leicester City
Ghana,Kwasi Sibo,MF,8,Oviedo
Ghana,Jordan Ayew,FW,9,Leicester City
Ghana,Brandon Thomas-Asante,FW,10,Coventry City
Ghana,Antoine Semenyo,MF,11,Manchester City
Ghana,Joseph Anang,GK,12,St Patrick's Athletic
Ghana,Christopher Bonsu Baah,FW,13,Al-Qadsiah
Ghana,Gideon Mensah,DF,14,Auxerre
Ghana,Elisha Owusu,MF,15,Auxerre
Ghana,Benjamin Asare,GK,16,Hearts of Oak
Ghana,Abdul Rahman Baba,DF,17,PAOK
Ghana,Jerome Opoku,DF,18,İstanbul Başakşehir
Ghana,Iñaki Williams,FW,19,Athletic Bilbao
Ghana,Augustine Boakye,MF,20,Saint-Étienne
Ghana,Kojo Peprah Oppong,DF,21,Nice
Ghana,Kamaldeen Sulemana,FW,22,Atalanta
Ghana,Derrick Luckassen,DF,23,Pafos
Ghana,Ernest Nuamah,FW,24,Lyon
Ghana,Prince Kwabena Adu,FW,25,Viktoria Plzeň
Ghana,Marvin Senaya,DF,26,Auxerre
Panama,Luis Mejía,GK,1,Nacional
Panama,César Blackman,DF,2,Slovan Bratislava
Panama,José Córdoba,DF,3,Norwich City
Panama,Fidel Escobar,DF,4,Saprissa
Panama,Edgardo Fariña,DF,5,Pari Nizhny Novgorod
Panama,Cristian Martínez,MF,6,Ironi Kiryat Shmona
Panama,José Luis Rodríguez,MF,7,Juárez
Panama,Adalberto Carrasquilla,MF,8,UNAM
Panama,Tomás Rodríguez,FW,9,Saprissa
Panama,Ismael Díaz,MF,10,León
Panama,Yoel Bárcenas,MF,11,Mazatlán
Panama,César Samudio,GK,12,Marathón
Panama,Jiovany Ramos,DF,13,Puerto Cabello
Panama,Carlos Harvey,DF,14,Minnesota United FC
Panama,Eric Davis,DF,15,Plaza Amador
Panama,Andrés Andrade,DF,16,LASK
Panama,José Fajardo,FW,17,Universidad Católica
Panama,Cecilio Waterman,FW,18,Universidad de Concepción
Panama,Alberto Quintero,MF,19,Plaza Amador
Panama,Aníbal Godoy,MF,20,San Diego FC
Panama,César Yanis,MF,21,Cobresal
Panama,Orlando Mosquera,GK,22,Al-Fayha
Panama,Michael Amir Murillo,DF,23,Beşiktaş
Panama,Azarias Londoño,FW,24,Universidad Católica
Panama,Roderick Miller,DF,25,Turan Tovuz
Panama,Jorge Gutiérrez,DF,26,Deportivo La Guaira
